1,1994-07-04,AM,15
2,1994-07-04,PM,11
3,1994-07-05,AM,36
4,1994-07-05,PM,31
5,1994-07-06,AM,12
6,1994-07-06,PM,36
7,1994-07-07,AM,6
8,1994-07-07,PM,23
9,1994-07-08,AM,1
10,1994-07-08,PM,21
11,1994-07-09,AM,24
12,1994-07-09,PM,23
13,1994-07-11,AM,30
14,1994-07-11,PM,9
15,1994-07-12,AM,5
16,1994-07-12,PM,24
17,1994-07-13,AM,30
18,1994-07-13,PM,5
19,1994-07-14,AM,33
20,1994-07-14,PM,15
21,1994-07-15,AM,3
22,1994-07-15,PM,15
23,1994-07-16,AM,31
24,1994-07-16,PM,33
25,1994-07-18,AM,18
26,1994-07-18,PM,19
27,1994-07-19,AM,5
28,1994-07-19,PM,18
29,1994-07-20,AM,28
30,1994-07-20,PM,3
31,1994-07-21,AM,27
32,1994-07-21,PM,13
33,1994-07-22,AM,19
34,1994-07-22,PM,13
35,1994-07-23,AM,4
36,1994-07-23,PM,7
37,1994-07-25,AM,32
38,1994-07-25,PM,8
39,1994-07-26,AM,32
40,1994-07-26,PM,31
41,1994-07-27,AM,26
42,1994-07-27,PM,11
43,1994-07-28,AM,2
44,1994-07-28,PM,25
45,1994-07-29,AM,24
46,1994-07-29,PM,10
47,1994-07-30,AM,6
48,1994-07-30,PM,28
49,1994-08-01,AM,6
50,1994-08-01,PM,13
51,1994-08-02,AM,17
52,1994-08-02,PM,13
53,1994-08-03,AM,32
54,1994-08-03,PM,28
55,1994-08-04,AM,7
56,1994-08-04,PM,13
57,1994-08-05,AM,30
58,1994-08-05,PM,24
59,1994-08-06,AM,29
60,1994-08-06,PM,6
61,1994-08-08,AM,12
62,1994-08-08,PM,1
63,1994-08-09,AM,22
64,1994-08-09,PM,31
65,1994-08-10,AM,5
66,1994-08-10,PM,7
67,1994-08-11,AM,15
68,1994-08-11,PM,9
69,1994-08-12,AM,16
70,1994-08-12,PM,26
71,1994-08-13,AM,14
72,1994-08-13,PM,1
73,1994-08-15,AM,28
74,1994-08-15,PM,6
75,1994-08-16,AM,11
76,1994-08-16,PM,25
77,1994-08-17,AM,7
78,1994-08-17,PM,36
79,1994-08-18,AM,36
80,1994-08-18,PM,13
81,1994-08-19,AM,19
82,1994-08-19,PM,23
83,1994-08-20,AM,20
84,1994-08-20,PM,1
85,1994-08-22,AM,9
86,1994-08-22,PM,30
87,1994-08-23,AM,18
88,1994-08-23,PM,19
89,1994-08-24,AM,26
90,1994-08-24,PM,34
91,1994-08-25,AM,1
92,1994-08-25,PM,3
93,1994-08-26,AM,21
94,1994-08-26,PM,10
95,1994-08-27,AM,11
96,1994-08-27,PM,30
97,1994-08-29,AM,11
98,1994-08-29,PM,36
99,1994-08-30,AM,33
100,1994-08-30,PM,33
101,1994-08-31,AM,20
102,1994-08-31,PM,14
103,1994-09-01,AM,11
104,1994-09-01,PM,7
105,1994-09-02,AM,10
106,1994-09-02,PM,8
107,1994-09-03,AM,21
108,1994-09-03,PM,14
109,1994-09-05,AM,18
110,1994-09-05,PM,32
111,1994-09-06,AM,34
112,1994-09-06,PM,26
113,1994-09-07,AM,3
114,1994-09-07,PM,33
115,1994-09-08,AM,1
116,1994-09-08,PM,1
117,1994-09-09,AM,30
118,1994-09-09,PM,33
119,1994-09-10,AM,4
120,1994-09-10,PM,35
121,1994-09-12,AM,16
122,1994-09-12,PM,22
123,1994-09-13,AM,6
124,1994-09-13,PM,16
125,1994-09-14,AM,8
126,1994-09-14,PM,30
127,1994-09-15,AM,4
128,1994-09-15,PM,29
129,1994-09-16,AM,2
130,1994-09-16,PM,34
131,1994-09-17,AM,17
132,1994-09-17,PM,8
133,1994-09-19,AM,28
134,1994-09-19,PM,11
135,1994-09-20,AM,20
136,1994-09-20,PM,27
137,1994-09-21,AM,27
138,1994-09-21,PM,33
139,1994-09-22,AM,18
140,1994-09-22,PM,30
141,1994-09-23,AM,14
142,1994-09-23,PM,28
143,1994-09-24,AM,16
144,1994-09-24,PM,11
145,1994-09-26,AM,30
146,1994-09-26,PM,17
147,1994-09-27,AM,29
148,1994-09-27,PM,28
149,1994-09-28,AM,30
150,1994-09-28,PM,34
151,1994-09-29,AM,17
152,1994-09-29,PM,18
153,1994-09-30,AM,21
154,1994-09-30,PM,10
155,1994-10-01,AM,17
156,1994-10-01,PM,28
157,1994-10-03,AM,34
158,1994-10-03,PM,36
159,1994-10-04,AM,8
160,1994-10-04,PM,24
161,1994-10-05,AM,33
162,1994-10-05,PM,18
163,1994-10-06,AM,3
164,1994-10-06,PM,36
165,1994-10-07,AM,36
166,1994-10-07,PM,17
167,1994-10-08,AM,15
168,1994-10-08,PM,30
169,1994-10-10,AM,34
170,1994-10-10,PM,18
171,1994-10-11,AM,21
172,1994-10-11,PM,27
173,1994-10-12,AM,17
174,1994-10-12,PM,3
175,1994-10-13,AM,17
176,1994-10-13,PM,3
177,1994-10-14,AM,32
178,1994-10-14,PM,17
179,1994-10-15,AM,32
180,1994-10-15,PM,1
181,1994-10-17,AM,3
182,1994-10-17,PM,27
183,1994-10-18,AM,29
184,1994-10-18,PM,30
185,1994-10-19,AM,32
186,1994-10-19,PM,10
187,1994-10-20,AM,35
188,1994-10-20,PM,22
189,1994-10-21,AM,25
190,1994-10-21,PM,27
191,1994-10-22,AM,20
192,1994-10-22,PM,20
193,1994-10-24,AM,10
194,1994-10-24,PM,17
195,1994-10-25,AM,7
196,1994-10-25,PM,11
197,1994-10-26,AM,11
198,1994-10-26,PM,22
199,1994-10-27,AM,17
200,1994-10-27,PM,2
201,1994-10-28,AM,30
202,1994-10-28,PM,14
203,1994-10-29,AM,17
204,1994-10-29,PM,31
205,1994-10-31,AM,34
206,1994-10-31,PM,21
207,1994-11-01,AM,22
208,1994-11-01,PM,3
209,1994-11-02,AM,6
210,1994-11-02,PM,12
211,1994-11-04,AM,21
212,1994-11-04,PM,17
213,1994-11-05,AM,36
214,1994-11-05,PM,26
215,1994-11-07,AM,31
216,1994-11-07,PM,33
217,1994-11-08,AM,30
218,1994-11-08,PM,5
219,1994-11-09,AM,32
220,1994-11-09,PM,22
221,1994-11-10,AM,32
222,1994-11-10,PM,15
223,1994-11-11,AM,6
224,1994-11-11,PM,10
225,1994-11-12,AM,22
226,1994-11-12,PM,26
227,1994-11-14,AM,2
